ParentLocation,Location,Period,Dim1,Dim2,Mortality Value,Mortality Value Low,Mortality Value High,Value
Americas,Canada,2014,Female,Diabetes mellitus,3268,2408,4218,3268 [2408-4218]
Americas,Canada,2014,Female,Cardiovascular diseases,34032,26003,40926,34032 [26003-40926]
Americas,Canada,2014,Male,Cardiovascular diseases,34475,28747,40496,34475 [28747-40496]
Americas,Canada,2014,Female,Malignant neoplasms,36676,29724,43680,36676 [29724-43680]
Americas,Canada,2014,Male,Diabetes mellitus,3823,3064,4726,3823 [3064-4726]
Americas,Canada,2014,Male,Malignant neoplasms,41087,34058,49721,41087 [34058-49721]
Americas,Canada,2014,Both sexes,Cardiovascular diseases,68507,54750,81422,68507 [54750-81422]
Americas,Canada,2014,Both sexes,Diabetes mellitus,7091,5472,8944,7091 [5472-8944]
Americas,Canada,2014,Both sexes,Malignant neoplasms,77763,63782,93401,77763 [63782-93401]
Americas,Canada,2014,Female,Respiratory diseases,8587,4800,11174,8587 [4800-11174]
Americas,Canada,2014,Male,Respiratory diseases,9402,7295,11522,9402 [7295-11522]
Americas,Canada,2013,Both sexes,Respiratory diseases,17848,12099,22329,17848 [12099-22329]
Americas,Canada,2013,Female,Diabetes mellitus,3274,2431,4191,3274 [2431-4191]
Americas,Canada,2013,Female,Cardiovascular diseases,33544,25746,40204,33544 [25746-40204]
Americas,Canada,2013,Male,Cardiovascular diseases,33752,28288,39414,33752 [28288-39414]
Americas,Canada,2013,Female,Malignant neoplasms,36048,29567,42500,36048 [29567-42500]
Americas,Canada,2013,Male,Diabetes mellitus,3782,3065,4628,3782 [3065-4628]
Americas,Canada,2013,Male,Malignant neoplasms,39707,33260,47523,39707 [33260-47523]
Americas,Canada,2013,Both sexes,Cardiovascular diseases,67296,54034,79619,67296 [54034-79619]
Americas,Canada,2013,Both sexes,Diabetes mellitus,7056,5496,8819,7056 [5496-8819]
Americas,Canada,2013,Both sexes,Malignant neoplasms,75755,62827,90023,75755 [62827-90023]
Americas,Canada,2013,Female,Respiratory diseases,8570,4834,11046,8570 [4834-11046]
Americas,Canada,2013,Male,Respiratory diseases,9278,7266,11284,9278 [7266-11284]
Americas,Canada,2012,Both sexes,Respiratory diseases,17670,12097,21969,17670 [12097-21969]
Americas,Canada,2012,Female,Cardiovascular diseases,32742,25264,39036,32742 [25264-39036]
Americas,Canada,2012,Female,Diabetes mellitus,3305,2470,4188,3305 [2470-4188]
Americas,Canada,2012,Male,Cardiovascular diseases,33119,27966,38487,33119 [27966-38487]
Americas,Canada,2012,Female,Malignant neoplasms,35589,29418,41618,35589 [29418-41618]
Americas,Canada,2012,Male,Diabetes mellitus,3698,3027,4486,3698 [3027-4486]
Americas,Canada,2012,Male,Malignant neoplasms,39394,33229,46753,39394 [33229-46753]
Americas,Canada,2012,Both sexes,Cardiovascular diseases,65860,53230,77523,65860 [53230-77523]
Americas,Canada,2012,Both sexes,Diabetes mellitus,7003,5496,8674,7003 [5496-8674]
Americas,Canada,2012,Both sexes,Malignant neoplasms,74983,62648,88371,74983 [62648-88371]
Americas,Canada,2012,Female,Respiratory diseases,8378,4768,10729,8378 [4768-10729]
Americas,Canada,2012,Male,Respiratory diseases,9292,7329,11240,9292 [7329-11240]
Americas,Canada,2011,Both sexes,Respiratory diseases,17578,12067,21758,17578 [12067-21758]
Americas,Canada,2011,Male,Cardiovascular diseases,32468,27555,37607,32468 [27555-37607]
Americas,Canada,2011,Female,Cardiovascular diseases,32826,25425,39029,32826 [25425-39029]
Americas,Canada,2011,Female,Diabetes mellitus,3393,2557,4286,3393 [2557-4286]
Americas,Canada,2011,Female,Malignant neoplasms,34968,29108,40700,34968 [29108-40700]
Americas,Canada,2011,Male,Malignant neoplasms,38360,32527,45230,38360 [32527-45230]
Americas,Canada,2011,Male,Diabetes mellitus,3838,3152,4623,3838 [3152-4623]
Americas,Canada,2011,Both sexes,Cardiovascular diseases,65294,52979,76636,65294 [52979-76636]
Americas,Canada,2011,Both sexes,Diabetes mellitus,7232,5710,8909,7232 [5710-8909]
Americas,Canada,2011,Both sexes,Malignant neoplasms,73328,61635,85930,73328 [61635-85930]
